ID,Groups,Description,Baseline [02-12 23:05]
BB-CLI-51,CliArgParser > commands,Parses multiple commands [2026-02-12],OK/OK
BB-CLI-52,CliArgParser > commands,Parses command with options [2026-02-12],OK/OK
BB-CLI-53,CliArgParser > per-command options,Parses per-command --project [2026-02-12],OK/OK
BB-CLI-54,CliArgParser > per-command options,Parses per-command --exclude [2026-02-12],OK/OK
BB-CLI-55,CliArgParser > per-command options,Parses per-command custom options [2026-02-12],OK/OK
BB-CLI-56,CliArgParser > per-command options,Parses multiple commands with per-command options [2026-02-12],OK/OK
BB-CLI-57,CliArgParser > positional arguments,Captures positional args at start [2026-02-12],OK/OK
BB-CLI-58,CliArgParser > positional arguments,Captures positional args before options [2026-02-12],OK/OK
BB-CLI-59,CliArgParser > positional arguments,Captures positional args before commands [2026-02-12],OK/OK
BB-CLI-60,CliArgParser > extra options,Captures unknown options [2026-02-12],OK/OK
BB-CLI-61,CliArgParser > extra options,Captures unknown options with values [2026-02-12],OK/OK
BB-CLI-62,CliArgParser > complex command lines,Parses buildkit-style command [2026-02-12],OK/OK
BB-CLI-63,CliArgParser > complex command lines,Parses testkit-style command [2026-02-12],OK/OK
BB-CLI-64,CliArgParser > complex command lines,Parses git command line [2026-02-12],OK/OK
BB-TDF-1,ToolMode,Has three values [2026-02-12],OK/OK
BB-TDF-2,NavigationFeatures > constructor,Creates features with defaults [2026-02-12],OK/OK
BB-TDF-3,NavigationFeatures > constructor,Creates features with all fields [2026-02-12],OK/OK
BB-TDF-4,NavigationFeatures > predefined constants,All has all features enabled [2026-02-12],OK/OK
BB-TDF-5,NavigationFeatures > predefined constants,Minimal has only verbose enabled [2026-02-12],OK/OK
BB-TDF-6,NavigationFeatures > predefined constants,ProjectTool has project traversal enabled [2026-02-12],OK/OK
BB-TDF-7,NavigationFeatures > predefined constants,GitTool has git traversal enabled [2026-02-12],OK/OK
BB-OPT-1,OptionType,OptionType has three values [2026-02-12],OK/OK
BB-TDF-8,NavigationFeatures > toString,Lists enabled features [2026-02-12],OK/OK
BB-TDF-9,NavigationFeatures > toString,Handles no features enabled [2026-02-12],OK/OK
BB-OPT-2,OptionDefinition > constructor,Creates option with required fields [2026-02-12],OK/OK
BB-OPT-3,OptionDefinition > constructor,Creates option with all fields [2026-02-12],OK/OK
BB-TDF-10,ToolDefinition > constructor,Creates tool with required fields [2026-02-12],OK/OK
BB-OPT-4,OptionDefinition > flag factory,Creates flag with minimal fields [2026-02-12],OK/OK
BB-TDF-11,ToolDefinition > constructor,Creates tool with all fields [2026-02-12],OK/OK
BB-OPT-5,OptionDefinition > flag factory,Creates negatable flag [2026-02-12],OK/OK
BB-TDF-12,ToolDefinition > findCommand,Finds command by name [2026-02-12],OK/OK
BB-OPT-6,OptionDefinition > flag factory,Creates flag with default value [2026-02-12],OK/OK
BB-TDF-13,ToolDefinition > findCommand,Finds command by alias [2026-02-12],OK/OK
BB-OPT-7,OptionDefinition > flag factory,Creates hidden flag [2026-02-12],OK/OK
BB-TDF-14,ToolDefinition > findCommand,Returns null for unknown command [2026-02-12],OK/OK
