ID,Groups,Description,Baseline [02-12 23:05]
BB-HLP-7,HelpGenerator > generateToolHelp,Shows command aliases [2026-02-12],OK/OK
BB-CMD-7,CommandDefinition > allOptions,Includes both traversal types when supported [2026-02-12],OK/OK
BB-CLI-2,CliArgs > effectiveRecursive,effectiveRecursive true when recursive set [2026-02-12],OK/OK
BB-RUN-9,ToolResult > failure factory,Creates failure result [2026-02-12],OK/OK
BB-CMP-8,CompletionGenerator.generateBash,Registers completion [2026-02-12],OK/OK
BB-HLP-8,HelpGenerator > generateToolHelp,Excludes hidden commands [2026-02-12],OK/OK
BB-CMD-8,CommandDefinition > allOptions,Command options come first [2026-02-12],OK/OK
BB-CLI-3,CliArgs > effectiveRecursive,effectiveRecursive false when both flags set [2026-02-12],OK/OK
BB-HLP-9,HelpGenerator > generateToolHelp,Includes help footer [2026-02-12],OK/OK
BB-CLI-4,CliArgs > effectiveRecursive,effectiveRecursive false when not recursive [2026-02-12],OK/OK
BB-HLP-10,HelpGenerator > generateToolHelp,Shows command help hint [2026-02-12],OK/OK
BB-CMP-9,CompletionGenerator.generateBash,Handles tool with no commands [2026-02-12],OK/OK
BB-CMD-9,CommandDefinition > usage,Generates usage without aliases [2026-02-12],OK/OK
BB-RUN-10,ToolResult > fromItems factory,Creates result from all successful items [2026-02-12],OK/OK
BB-CLI-5,CliArgs > isHelpOrVersion,isHelpOrVersion true when help set [2026-02-12],OK/OK
BB-CMD-10,CommandDefinition > usage,Generates usage with single alias [2026-02-12],OK/OK
BB-HLP-11,HelpGenerator > generateCommandHelp,Includes command name [2026-02-12],OK/OK
BB-CMP-10,CompletionGenerator.generateZsh,Generates zsh completion script [2026-02-12],OK/OK
BB-RUN-11,ToolResult > fromItems factory,Creates result from mixed items [2026-02-12],OK/OK
BB-CLI-6,CliArgs > isHelpOrVersion,isHelpOrVersion true when version set [2026-02-12],OK/OK
BB-CMD-11,CommandDefinition > usage,Generates usage with multiple aliases [2026-02-12],OK/OK
BB-HLP-12,HelpGenerator > generateCommandHelp,Includes command description [2026-02-12],OK/OK
BB-CMP-11,CompletionGenerator.generateZsh,Includes commands array [2026-02-12],OK/OK
BB-RUN-12,ToolResult > fromItems factory,Creates result from all failed items [2026-02-12],OK/OK
BB-CLI-7,CliArgs > isHelpOrVersion,isHelpOrVersion false when neither set [2026-02-12],OK/OK
BB-CMD-12,CommandDefinition > toString,Returns descriptive string [2026-02-12],OK/OK
BB-CMP-12,CompletionGenerator.generateZsh,Includes global options array [2026-02-12],OK/OK
BB-HLP-13,HelpGenerator > generateCommandHelp,Shows aliases [2026-02-12],OK/OK
BB-RUN-13,ToolResult > fromItems factory,Creates result from empty items [2026-02-12],OK/OK
BB-CLI-8,CliArgs > toProjectTraversalInfo,Converts basic args to ProjectTraversalInfo [2026-02-12],OK/OK
BB-CMP-13,CompletionGenerator.generateZsh,Includes completion function [2026-02-12],OK/OK
BB-HLP-14,HelpGenerator > generateCommandHelp,Lists command options [2026-02-12],OK/OK
BB-CMD-13,Command with nature requirements,Can specify required natures [2026-02-12],OK/OK
BB-CLI-9,CliArgs > toProjectTraversalInfo,Uses root from args if provided [2026-02-12],OK/OK
BB-RUN-14,ToolRunner > constructor,Creates runner with required fields [2026-02-12],OK/OK
BB-CMD-14,Command with nature requirements,Null required natures means any folder [2026-02-12],OK/OK
BB-CMP-14,CompletionGenerator.generateZsh,Includes command-specific options [2026-02-12],OK/OK
BB-HLP-15,HelpGenerator > generateCommandHelp,Lists project traversal options when supported [2026-02-12],OK/OK
BB-CMD-15,Command with nature requirements,Empty required natures is different from null [2026-02-12],OK/OK
BB-RUN-15,ToolRunner > constructor,Creates runner with executors [2026-02-12],OK/OK
BB-CMP-15,CompletionGenerator.generateZsh,Calls completion function [2026-02-12],OK/OK
BB-CLI-10,CliArgs > toProjectTraversalInfo,Respects notRecursive override [2026-02-12],OK/OK
BB-HLP-16,HelpGenerator > generateCommandHelp,Lists git traversal options when supported [2026-02-12],OK/OK
